advertiser,election,topic,spend_week,spend_month,spend
IOTA CITIZENS PAC,REGION-1-GOV,Abortion,2024_10/07-10/13,2024_10,
ALPHA COMMITTEE,NATIONAL-PRES,Education,2024_09/24-09/30,2024_09,1059.6471
RHO VOTERS PAC,NATIONAL-PRES,Immigration,2024_10/15-10/21,2024_10,6284.7208
EPSILON GROUP PAC,NATIONAL-PRES,Gun Policy,2024_10/15-10/21,2024_10,5494.7967
TAU COMMITTEE,REGION-2-SEN,Healthcare,2024_09/03-09/09,2024_09,25.5489
PI ACTION GROUP,REGION-1-GOV,Healthcare,2024_10/07-10/13,2024_10,102.0803
PI ACTION GROUP,REGION-1-GOV,Education,2024_10/29-11/04,2024_11,10055.8928
PI ACTION GROUP,REGION-3-HSE,Abortion,2024_10/01-10/06,2024_10,231.152
THETA ACTION COMMITTEE,REGION-3-HSE,Immigration,2024_09/03-09/09,2024_09,404.8996
THETA ACTION COMMITTEE,REGION-3-HSE,Healthcare,2024_09/24-09/30,2024_09,134.6756
MU ACTION PAC,REGION-4-GOV,Education,2024_11/05-11/11,2024_11,3469.2645
SIGMA FORWARD FUND,REGION-4-GOV,Immigration,2024_10/22-10/28,2024_10,1072.9478
RHO VOTERS PAC,REGION-2-SEN,Climate & Energy,2024_09/03-09/09,2024_09,2150.5508
ZETA FORWARD FUND,REGION-1-GOV,Abortion,2024_10/01-10/06,2024_10,521.7401
ALPHA COMMITTEE,REGION-2-SEN,Economy & Labor,2024_11/05-11/11,2024_11,404.0223
OMICRON FUND,REGION-1-GOV,Gun Policy,2024_09/03-09/09,2024_09,537.8864
NU COALITION,REGION-4-GOV,Economy & Labor,2024_10/22-10/28,2024_10,145.6157
ETA PROGRESS PAC,NATIONAL-PRES,Immigration,2024_09/10-09/16,2024_09,78.6941
SIGMA FORWARD FUND,REGION-2-SEN,Education,2024_09/03-09/09,2024_09,23329.0673
DELTA COALITION,REGION-2-SEN,Criminal Justice,2024_10/07-10/13,2024_10,565.4122
ETA PROGRESS PAC,REGION-3-HSE,Abortion,2024_09/17-09/23,2024_09,501.2978
GAMMA VOTERS FUND,REGION-2-SEN,Climate & Energy,2024_11/05-11/11,2024_11,592.7607
RHO VOTERS PAC,REGION-3-HSE,Gun Policy,2024_10/01-10/06,2024_10,
UPSILON ACTION PAC,REGION-3-HSE,Economy & Labor,2024_09/03-09/09,2024_09,25556.7338
KAPPA FORWARD GROUP,REGION-1-GOV,Gun Policy,2024_11/05-11/11,2024_11,1117.1565
NU COALITION,REGION-2-SEN,Criminal Justice,2024_09/03-09/09,2024_09,1500.0087
OMICRON FUND,NATIONAL-PRES,Education,2024_10/22-10/28,2024_10,250000
RHO VOTERS PAC,REGION-3-HSE,Climate & Energy,2024_10/22-10/28,2024_10,1602.0634
MU ACTION PAC,NATIONAL-PRES,Healthcare,2024_09/17-09/23,2024_09,1869.7275
TAU COMMITTEE,REGION-1-GOV,Criminal Justice,2024_10/01-10/06,2024_10,250000
DELTA COALITION,REGION-4-GOV,Education,2024_09/10-09/16,2024_09,56064.1381
BETA ACTION PAC,REGION-1-GOV,Climate & Energy,2024_11/12-11/18,2024_11,33.6833
ALPHA COMMITTEE,REGION-4-GOV,Criminal Justice,2024_09/10-09/16,2024_09,880.3685
OMICRON FUND,REGION-1-GOV,Abortion,2024_10/22-10/28,2024_10,250000
LAMBDA POLICY FUND,REGION-3-HSE,Healthcare,2024_09/24-09/30,2024_09,
DELTA COALITION,REGION-2-SEN,Abortion,2024_09/24-09/30,2024_09,7.6888
OMICRON FUND,NATIONAL-PRES,Education,2024_10/01-10/06,2024_10,4.6967
NU COALITION,REGION-3-HSE,Climate & Energy,2024_11/12-11/18,2024_11,98.3319
THETA ACTION COMMITTEE,REGION-1-GOV,Healthcare,2024_09/24-09/30,2024_09,
OMICRON FUND,NATIONAL-PRES,Immigration,2024_09/17-09/23,2024_09,564.5061
MU ACTION PAC,REGION-2-SEN,Immigration,2024_10/22-10/28,2024_10,13723.3254
RHO VOTERS PAC,REGION-2-SEN,Criminal Justice,2024_09/10-09/16,2024_09,250000
SIGMA FORWARD FUND,REGION-2-SEN,Abortion,2024_09/10-09/16,2024_09,101.5105
PI ACTION GROUP,REGION-3-HSE,Climate & Energy,2024_10/01-10/06,2024_10,2450.1766
ETA PROGRESS PAC,REGION-4-GOV,Gun Policy,2024_09/24-09/30,2024_09,946.8005
MU ACTION PAC,REGION-3-HSE,Criminal Justice,2024_10/01-10/06,2024_10,565.2336
ETA PROGRESS PAC,REGION-1-GOV,Healthcare,2024_11/05-11/11,2024_11,250000
ZETA FORWARD FUND,REGION-2-SEN,Gun Policy,2024_11/05-11/11,2024_11,34384.3411
NU COALITION,REGION-2-SEN,Healthcare,2024_11/12-11/18,2024_11,250000
OMICRON FUND,REGION-1-GOV,Healthcare,2024_10/22-10/28,2024_10,4032.3719
DELTA COALITION,REGION-4-GOV,Economy & Labor,2024_10/01-10/06,2024_10,111.2145
PI ACTION GROUP,REGION-4-GOV,Education,2024_11/12-11/18,2024_11,275.2986
NU COALITION,REGION-2-SEN,Abortion,2024_11/12-11/18,2024_11,49751.6693
MU ACTION PAC,NATIONAL-PRES,Healthcare,2024_11/12-11/18,2024_11,1963.9081
RHO VOTERS PAC,REGION-2-SEN,Abortion,2024_10/22-10/28,2024_10,250000
XI PROGRESS COMMITTEE,REGION-2-SEN,Education,2024_11/05-11/11,2024_11,6418.6899
ZETA FORWARD FUND,REGION-1-GOV,Immigration,2024_10/07-10/13,2024_10,
